,season,id,name,position,team,conference,usage.overall,usage.pass,usage.rush,usage.firstDown,usage.secondDown,usage.thirdDown,usage.standardDowns,usage.passingDowns
955,2024,4613032,Nate Noel,RB,Missouri,SEC,0.226,0.043,0.389,0.257,0.308,0.059,0.263,0.143
956,2024,4613050,Quentin Skinner,WR,Kansas,B12,0.056,0.123,0.009,0.067,0.027,0.084,0.05,0.07
957,2024,4613059,Devontae Houston,RB,East Tennessee State,,0.175,0.022,0.295,0.236,0.163,0.085,0.205,0.104
958,2024,4613064,Obasanjo Sanni,RB,Tennessee Tech,,0.077,0.011,0.125,0.106,0.04,0.083,0.092,0.051
959,2024,4613087,Jamaal Bell,WR,Baylor,B12,0.022,0.009,0.032,0.033,0.024,0.0,0.026,0.014
960,2024,4613105,Miles Davis,RB,BYU,B12,0.066,0.032,0.093,0.07,0.061,0.045,0.068,0.061
961,2024,4613132,Levi Wentz,WR,UAlbany,,0.057,0.099,0.0,0.066,0.056,0.037,0.061,0.05
962,2024,4613157,Jake Clemons,TE,Charlotte,AAC,0.015,0.029,0.0,0.02,0.024,0.0,0.025,0.0
963,2024,4613157,Jake Clemons,TE,Charlotte,,0.015,0.029,0.0,0.02,0.024,0.0,0.025,0.0
964,2024,4613165,Demick Starling,WR,Western Kentucky,CUSA,0.016,0.009,0.023,0.011,0.032,0.0,0.014,0.022
965,2024,4613193,Joshua Cobbs,WR,South Florida,AAC,0.013,0.034,0.0,0.015,0.0,0.033,0.019,0.0
966,2024,4613198,Larenzo McMillan,RB,New Mexico State,CUSA,0.022,0.006,0.034,0.031,0.017,0.013,0.033,0.0
967,2024,4613199,Josh Sterzer,TE,Utah State,MWC,0.042,0.079,0.004,0.04,0.068,0.01,0.036,0.056
968,2024,4613202,Kyle Williams,WR,Washington State,PAC,0.1,0.177,0.025,0.114,0.091,0.086,0.106,0.081
969,2024,4613214,Connor Witthoft,TE,Delaware,,0.014,0.029,0.0,0.032,0.0,0.0,0.018,0.0
970,2024,4613268,Joseph Bearns III,TE,Charlotte,AAC,0.02,0.045,0.0,0.0,0.056,0.0,0.029,0.0
971,2024,4613268,Joseph Bearns III,TE,Charlotte,,0.02,0.045,0.0,0.0,0.056,0.0,0.029,0.0
972,2024,4618083,Ethan Hampton,QB,Northern Illinois,MAC,0.37,0.814,0.083,0.289,0.354,0.533,0.313,0.5
973,2024,4619186,Treylan Davis,TE,West Virginia,B12,0.015,0.038,0.0,0.012,0.022,0.013,0.011,0.023
974,2024,4635009,J.Michael Sturdivant,WR,UCLA,B1G,0.057,0.09,0.006,0.036,0.072,0.082,0.058,0.056
975,2024,4643696,Gunnar Greenwald,TE,South Florida,AAC,0.017,0.026,0.0,0.0,0.056,0.0,0.0,0.048
976,2024,4662406,Javon Gipson,WR,Abilene Christian,,0.033,0.056,0.0,0.03,0.032,0.045,0.031,0.037
977,2024,4663499,Sam Reynolds,WR,Towson,,0.024,0.05,0.0,0.009,0.031,0.051,0.014,0.048
978,2024,4676889,Myles Montgomery,RB,UCF,B12,0.08,0.011,0.125,0.084,0.099,0.05,0.094,0.042
979,2024,4677280,Julian Gray,WR,Liberty,CUSA,0.037,0.039,0.036,0.042,0.05,0.011,0.04,0.031
980,2024,4678006,Elijah Arroyo,TE,Miami,ACC,0.047,0.084,0.0,0.048,0.045,0.04,0.053,0.031
981,2024,4678010,Kyron Drones,QB,Virginia Tech,ACC,0.57,0.916,0.284,0.5,0.552,0.738,0.525,0.658
982,2024,4680018,Alton McCaskill,RB,Arizona State,B12,0.099,0.0,0.149,0.097,0.167,0.0,0.083,0.13
983,2024,4680023,Brandon Epton Jr.,RB,Southeast Missouri State,,0.154,0.062,0.423,0.245,0.097,0.055,0.199,0.067
984,2024,4680024,Da'Wain Lofton,WR,Oklahoma State,B12,0.032,0.061,0.0,0.05,0.0,0.054,0.033,0.032
985,2024,4680029,Keith Jackson,RB,East Texas A&M,,0.117,0.024,0.249,0.138,0.129,0.078,0.15,0.055
986,2024,4682484,Stone Eby,TE,SMU,ACC,0.014,0.025,0.0,0.032,0.0,0.0,0.02,0.0
987,2024,4682487,Cam Davis,RB,San Diego State,MWC,0.037,0.016,0.061,0.02,0.044,0.057,0.035,0.041
988,2024,4682509,Malik McClain,WR,Arizona State,B12,0.026,0.06,0.0,0.031,0.023,0.0,0.04,0.0
989,2024,4682518,Nick Vattiato,QB,Middle Tennessee,CUSA,0.664,0.978,0.197,0.583,0.667,0.805,0.606,0.784
990,2024,4682565,Tyler Macon,QB,Alcorn State,,0.106,0.149,0.081,0.093,0.121,0.113,0.103,0.11
991,2024,4682613,Fernando Garza,TE,Sam Houston,CUSA,0.019,0.043,0.0,0.0,0.056,0.0,0.0,0.042
992,2024,4682640,Joshua McCray,RB,Illinois,B1G,0.161,0.036,0.273,0.193,0.123,0.153,0.205,0.069
993,2024,4682642,D.C. Tabscott,QB,North Alabama,,0.115,0.264,0.024,0.045,0.156,0.24,0.051,0.275
994,2024,4682648,Malachi Fields,WR,Virginia,ACC,0.072,0.132,0.005,0.086,0.06,0.06,0.071,0.076
995,2024,4682652,Devin Neal,RB,Kansas,B12,0.322,0.086,0.488,0.339,0.323,0.285,0.362,0.225
996,2024,4682654,Jeremiah Ballard,WR,Tulsa,AAC,0.028,0.065,0.0,0.029,0.045,0.0,0.038,0.0
997,2024,4682688,Kaiya Sheron,QB,UT Martin,,0.346,0.605,0.135,0.354,0.339,0.302,0.321,0.38
998,2024,4682748,Max Patterson,WR,Delaware,,0.041,0.075,0.003,0.05,0.044,0.024,0.04,0.043
999,2024,4682760,Aaron Steinfeldt,TE,UAlbany,,0.014,0.023,0.0,0.0,0.042,0.0,0.0,0.048
1000,2024,4682761,Luke Wysong,WR,New Mexico,MWC,0.112,0.216,0.021,0.114,0.132,0.081,0.103,0.135
