homeTeam,awayTeam,spread,formattedSpread,homeScore,awayScore,win_margin,cover_margin,spread_result
Oklahoma State,UT Martin,-26.0,Oklahoma State -26.0,27.0,7.0,20.0,-6.0,Oklahoma State did NOT cover
Oklahoma State,UT Martin,,,27.0,7.0,,,
Ohio State,Texas,-1.5,Ohio State -1.5,14.0,7.0,7.0,5.5,Ohio State covered
Ohio State,Texas,-3.0,Ohio State -3,14.0,7.0,7.0,4.0,Ohio State covered
Ohio State,Texas,-2.0,Ohio State -2.0,14.0,7.0,7.0,5.0,Ohio State covered
Michigan,Ohio State,3.5,Ohio State -3.5,,,,,
Michigan,Ohio State,5.5,Ohio State -5.5,,,,,
Michigan,Ohio State,5.5,Ohio State -5.5,,,,,
Rhode Island,Campbell,-11.5,Rhode Island -11.5,31.0,20.0,11.0,-0.5,Rhode Island did NOT cover
UTSA,Texas State,-4.5,UTSA -4.5,36.0,43.0,-7.0,-11.5,UTSA did NOT cover | OUTRIGHT UNDERDOG WIN: Texas State
UTSA,Texas State,-4.5,UTSA -4.5,36.0,43.0,-7.0,-11.5,UTSA did NOT cover | OUTRIGHT UNDERDOG WIN: Texas State
Marist,New Haven,3.5,New Haven -3.5,31.0,14.0,-17.0,-20.5,New Haven did NOT cover | OUTRIGHT UNDERDOG WIN: Marist
Florida,Long Island University,-46.5,Florida -46.5,55.0,0.0,55.0,8.5,Florida covered
Florida,Long Island University,-47.0,Florida -47.0,55.0,0.0,55.0,8.0,Florida covered
