,season,week,seasonType,id,name,position,team,opponent,averagePPA.all,averagePPA.pass,averagePPA.rush
1066,2024,1,regular,4427966,Maverick McIvor,QB,Abilene Christian,Texas Tech,0.684,0.715,-0.684
1067,2024,1,regular,4429299,Tahj Brooks,RB,Texas Tech,Abilene Christian,0.095,0.076,0.097
1068,2024,1,regular,4429422,Trey Cleveland,WR,Abilene Christian,Texas Tech,0.755,0.755,
1069,2024,1,regular,4431465,Behren Morton,QB,Texas Tech,Abilene Christian,0.644,0.666,-0.296
1070,2024,1,regular,4575558,Josh Kelly,WR,Texas Tech,Abilene Christian,1.758,1.758,
1071,2024,1,regular,4587705,Cam'Ron Valdez,RB,Texas Tech,Abilene Christian,0.272,,0.272
1072,2024,1,regular,4592572,Mason Tharp,TE,Texas Tech,Abilene Christian,0.302,0.302,
1073,2024,1,regular,4662406,Javon Gipson,WR,Abilene Christian,Texas Tech,1.006,1.006,
1074,2024,1,regular,4682792,Jed Castles,TE,Abilene Christian,Texas Tech,0.887,0.887,
1075,2024,1,regular,4686373,Jordan Brown,WR,Texas Tech,Abilene Christian,1.849,1.849,
1076,2024,1,regular,4686606,Isaiah Johnson,RB,Abilene Christian,Texas Tech,0.281,0.99,0.118
1077,2024,1,regular,4692538,Jalin Conyers,TE,Texas Tech,Abilene Christian,1.6,1.6,
1078,2024,1,regular,4701592,Jordon Vaughn,RB,Abilene Christian,Texas Tech,-0.906,,-0.906
1079,2024,1,regular,4869645,Caleb Douglas,WR,Texas Tech,Abilene Christian,1.269,1.269,
1080,2024,1,regular,4877773,Johncarlos Miller II,TE,Texas Tech,Abilene Christian,1.328,1.328,
1081,2024,1,regular,4916941,Coy Eakin,WR,Texas Tech,Abilene Christian,1.459,1.459,
