,id,season,seasonType,week,startDate,homeTeam,homeConference,homeClassification,homeScore,awayTeam,awayConference,awayClassification,awayScore,provider,spread,formattedSpread,spreadOpen,overUnder,overUnderOpen,homeMoneyline,awayMoneyline,0
745,401628423,2024,regular,12,2024-11-16T21:15:00.000Z,South Carolina,SEC,fbs,34.0,Missouri,SEC,fbs,30.0,DraftKings,-10.5,South Carolina -10.5,-13.0,42.5,,-410.0,320.0,
746,401628423,2024,regular,12,2024-11-16T21:15:00.000Z,South Carolina,SEC,fbs,34.0,Missouri,SEC,fbs,30.0,Bovada,-10.5,South Carolina -10.5,-13.0,43.0,44.5,-550.0,390.0,
747,401628423,2024,regular,12,2024-11-16T21:15:00.000Z,South Carolina,SEC,fbs,34.0,Missouri,SEC,fbs,30.0,ESPN Bet,-10.5,South Carolina -10.5,-13.5,42.5,44.5,-450.0,340.0,
748,401634127,2024,regular,13,2024-11-23T20:00:00.000Z,Weber State,Big Sky,fcs,28.0,Cal Poly,Big Sky,fcs,17.0,ESPN Bet,-14.0,Weber State -14,,54.5,,,,
749,401628437,2024,regular,14,2024-11-30T20:30:00.000Z,Alabama,SEC,fbs,28.0,Auburn,SEC,fbs,14.0,ESPN Bet,-10.5,Alabama -10.5,-11.5,50.5,52.5,-450.0,340.0,
750,401628437,2024,regular,14,2024-11-30T20:30:00.000Z,Alabama,SEC,fbs,28.0,Auburn,SEC,fbs,14.0,DraftKings,-11.0,Alabama -11,-14.0,51.0,,-410.0,320.0,
751,401628437,2024,regular,14,2024-11-30T20:30:00.000Z,Alabama,SEC,fbs,28.0,Auburn,SEC,fbs,14.0,Bovada,-11.0,Alabama -11.0,-14.0,51.0,52.0,-480.0,350.0,
752,401634119,2024,regular,11,2024-11-10T03:15:00.000Z,Montana,Big Sky,fcs,14.0,UC Davis,Big Sky,fcs,30.0,ESPN Bet,-5.5,Montana -5.5,,54.5,,,,
753,401634151,2024,regular,13,2024-11-23T20:00:00.000Z,Mercer,Southern,fcs,49.0,Furman,Southern,fcs,23.0,ESPN Bet,-14.0,Mercer -14,,51.5,,,,
754,401628677,2024,regular,11,2024-11-09T18:00:00.000Z,Stony Brook,CAA,fcs,24.0,UAlbany,CAA,fcs,6.0,ESPN Bet,-2.5,Stony Brook -2.5,,48.5,,,,
755,401628678,2024,regular,11,2024-11-09T18:00:00.000Z,Maine,CAA,fcs,38.0,Bryant,CAA,fcs,26.0,ESPN Bet,-13.5,Maine -13.5,,57.5,,,,
756,401628680,2024,regular,11,2024-11-09T18:00:00.000Z,Delaware,CAA,fcs,24.0,Rhode Island,CAA,fcs,21.0,ESPN Bet,-6.0,Delaware -6,,54.5,,,,
757,401628681,2024,regular,11,2024-11-09T18:00:00.000Z,William & Mary,CAA,fcs,36.0,Elon,CAA,fcs,40.0,ESPN Bet,-7.5,William & Mary -7.5,,49.5,,,,
758,401628682,2024,regular,11,2024-11-09T18:00:00.000Z,Towson,CAA,fcs,27.0,Hampton,CAA,fcs,10.0,ESPN Bet,-5.5,Towson -5.5,,55.5,,,,
759,401628683,2024,regular,11,2024-11-09T18:00:00.000Z,New Hampshire,CAA,fcs,33.0,Monmouth,CAA,fcs,20.0,ESPN Bet,1.5,Monmouth -1.5,,56.5,,,,
760,401628684,2024,regular,11,2024-11-09T18:00:00.000Z,Villanova,CAA,fcs,31.0,North Carolina A&T,CAA,fcs,3.0,ESPN Bet,-25.5,Villanova -25.5,,49.5,,,,
761,401632077,2024,regular,11,2024-11-09T19:00:00.000Z,West Georgia,UAC,fcs,21.0,Tarleton State,UAC,fcs,38.0,ESPN Bet,8.5,Tarleton State -8.5,,53.5,,,,
762,401632140,2024,regular,11,2024-11-09T19:00:00.000Z,Eastern Kentucky,UAC,fcs,31.0,Central Arkansas,UAC,fcs,24.0,ESPN Bet,4.0,Central Arkansas -4,,55.5,,,,
763,401632467,2024,regular,11,2024-11-09T19:00:00.000Z,The Citadel,Southern,fcs,7.0,Chattanooga,Southern,fcs,31.0,ESPN Bet,14.0,Chattanooga -14,,44.5,,,,
764,401634003,2024,regular,11,2024-11-09T19:00:00.000Z,Charleston Southern,Big South-OVC,fcs,14.0,UT Martin,Big South-OVC,fcs,40.0,ESPN Bet,17.5,UT Martin -17.5,,45.5,,,,
765,401634004,2024,regular,11,2024-11-09T18:30:00.000Z,Gardner-Webb,Big South-OVC,fcs,31.0,Eastern Illinois,Big South-OVC,fcs,28.0,ESPN Bet,-5.5,Gardner-Webb -5.5,,54.5,,,,
766,401634005,2024,regular,11,2024-11-09T19:00:00.000Z,Lindenwood,Big South-OVC,fcs,24.0,Southeast Missouri State,Big South-OVC,fcs,12.0,ESPN Bet,17.0,Southeast Missouri State -17,,56.5,,,,
767,401634023,2024,regular,11,2024-11-09T18:00:00.000Z,SE Louisiana,Southland,fcs,41.0,Northwestern State,Southland,fcs,0.0,ESPN Bet,-28.0,SE Louisiana -28,,53.5,,,,
768,401634116,2024,regular,11,2024-11-09T19:00:00.000Z,Northern Colorado,Big Sky,fcs,15.0,Eastern Washington,Big Sky,fcs,43.0,ESPN Bet,13.5,Eastern Washington -13.5,,60.5,,,,
769,401634150,2024,regular,11,2024-11-09T18:30:00.000Z,VMI,Southern,fcs,0.0,Mercer,Southern,fcs,34.0,ESPN Bet,21.0,Mercer -21,,47.5,,,,
770,401634156,2024,regular,11,2024-11-09T19:00:00.000Z,Furman,Southern,fcs,13.0,Wofford,Southern,fcs,19.0,ESPN Bet,-4.5,Furman -4.5,,42.5,,,,
771,401634166,2024,regular,11,2024-11-09T19:00:00.000Z,Northern Iowa,MVFC,fcs,9.0,Illinois State,MVFC,fcs,31.0,ESPN Bet,2.5,Illinois State -2.5,,52.5,,,,
772,401634178,2024,regular,11,2024-11-09T19:00:00.000Z,South Dakota,MVFC,fcs,49.0,Indiana State,MVFC,fcs,0.0,ESPN Bet,-31.0,South Dakota -31,,45.5,,,,
