id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401752816,127,Michigan State,Big Ten,home,42,19-29,0,21,1-2,1,1,,,0,0,108,3,10,231,3,,4,29:48,0,8,3,1,35,1,149,0,37,4,5-12,2,6-60,380,1,8.0,4.3
401752817,77,Northwestern,Big Ten,home,42,21-29,0,24,1-1,1,0,0,7,0,,,,10,245,8,1,3,35:54,0,2,4,4,41,2,281,2,26,3,8-16,2,6-54,526,1,8.4,6.9
401752817,2710,Western Illinois,Big South-OVC,away,7,12-27,0,10,0-0,0,1,,,1,0,63,5,1,110,3,,1,24:06,,,,0,23,0,71,1,37,6,2-12,0,3-13,181,1,4.1,3.1
401752818,164,Rutgers,Big Ten,home,45,26-36,0,31,0-1,0,,0,68,0,0,47,2,9,259,0,1,4,39:06,0,7,1,0,41,2,162,2,23,5,7-10,,2-14,421,0,7.2,4.0
401752818,193,Miami (OH),Mid-American,away,17,14-23,0,14,0-1,0,,,,1,,,,5,251,3,,0,20:54,,,,0,22,2,117,3,39,5,3-8,,10-94,368,1,10.9,5.3
401752819,79,Southern Illinois,MVFC,away,17,20-33,0,20,1-2,0,,0,0,0,,,,5,202,2,1,1,23:14,,,,0,26,1,81,0,48,7,5-11,,5-66,283,0,6.1,3.1
401752819,2509,Purdue,Big Ten,home,34,14-23,0,29,2-3,0,,,,1,0,40,2,10,170,3,,2,36:46,0,17,1,0,53,2,214,3,36,7,9-14,,2-30,384,1,7.4,4.0
401752820,275,Wisconsin,Big Ten,home,42,23-27,0,21,2-2,0,,0,0,1,0,25,1,6,283,2,1,3,30:43,0,3,1,0,29,3,173,5,37,8,4-9,,0-0,456,1,10.5,6.0
401752820,2393,Middle Tennessee,Conference USA,away,10,21-32,0,14,1-2,0,1,0,7,1,,,,4,208,0,1,1,29:17,0,15,1,0,28,0,33,0,39,7,5-14,0,4-25,241,1,6.5,1.2
401752821,264,Washington,Big Ten,home,70,19-30,1,34,2-2,0,,0,0,0,0,28,2,10,304,2,1,1,35:08,1,95,2,3,46,8,324,3,29,4,11-13,,5-65,628,0,10.1,7.0
401752821,302,UC Davis,Big Sky,away,10,14-28,0,13,1-1,0,0,,,1,0,24,2,4,142,1,,1,24:52,,,,1,24,0,76,0,48,1,4-12,1,9-65,218,1,5.1,3.2
401752822,66,Iowa State,Big 12,home,16,18-27,0,14,0-0,1,0,0,24,0,0,0,1,10,134,3,1,1,28:52,0,1,1,4,30,0,104,3,34,6,8-15,2,5-42,238,1,5.0,3.5
401752822,2294,Iowa,Big Ten,away,13,13-24,0,16,1-2,0,1,,,1,0,55,3,7,83,4,,0,31:08,0,-7,1,1,39,1,131,0,25,3,5-14,1,4-38,214,1,3.5,3.4
401752823,26,UCLA,Big Ten,away,23,29-41,0,27,4-5,1,0,,,1,0,106,5,11,255,1,,1,31:26,0,0,1,0,30,1,173,2,18,3,3-13,1,14-129,428,2,6.2,5.8
401752823,2439,UNLV,Mountain West,home,30,15-21,0,20,1-1,0,1,0,0,0,0,19,2,6,203,4,1,3,28:34,0,0,1,3,30,1,151,2,34,5,5-10,0,13-130,354,0,9.7,5.0
401752824,197,Oklahoma State,Big 12,away,3,7-19,0,9,1-1,0,,,,2,0,39,3,3,67,0,,0,31:19,,,,3,42,0,144,0,28,3,4-16,,8-45,211,2,3.5,3.4
401752824,2483,Oregon,Big Ten,home,69,18-25,2,24,1-2,0,,2,56,0,,,,9,319,7,2,3,28:41,0,15,1,2,37,5,312,2,33,4,7-12,,6-35,631,0,12.8,8.4
401752825,150,Duke,ACC,home,19,25-39,0,21,1-2,4,0,,,1,,,,7,356,4,,2,23:48,0,4,1,3,24,0,82,4,33,10,4-10,4,6-69,438,5,9.1,3.4
