,id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
184,401767285,196,Northeastern State,Independent DII,away,21,23-51,,16,2-6,0,0,,,2,0,175,8,1,362,,,3,25:18,0,2,1,,16,0,17,,,,2-13,1,11-102,379,2,7.1,1.1
185,401767285,2453,North Alabama,UAC,home,49,14-22,,19,0-1,0,0,0,-4,0,0,45,2,13,199,,2,1,34:42,0,7,1,,50,5,303,,,,8-16,1,6-59,502,0,9.0,6.1
186,401767300,2193,East Tennessee State,Southern,away,31,14-22,,18,1-2,0,1,0,13,2,0,24,1,7,184,,3,3,23:14,,,,,40,1,105,,,,5-13,0,8-86,289,2,8.4,2.6
187,401767300,2698,West Georgia,UAC,home,35,18-34,,27,2-2,1,0,0,14,3,0,82,3,9,263,,2,3,36:46,0,-2,3,,45,1,194,,,,7-17,1,7-78,457,4,7.7,4.3
188,401767305,2110,Central Arkansas,UAC,home,10,12-21,,18,0-4,1,0,,,1,0,77,4,4,163,,,1,27:37,,,,,43,0,131,,,,4-13,2,6-49,294,2,7.8,3.0
189,401767305,2627,Tarleton State,UAC,away,56,10-16,,22,2-3,0,1,0,0,0,0,39,2,8,177,,1,3,32:23,0,43,2,,50,4,241,,,,8-14,0,4-34,418,0,11.1,4.8
190,401767318,107,Holy Cross,Patriot,home,7,14-29,,15,1-2,0,0,0,0,0,0,75,3,1,157,,1,0,28:51,0,4,1,,31,1,72,,,,6-15,1,3-43,229,0,5.4,2.3
191,401767318,227,Rhode Island,CAA,away,9,22-37,,19,1-2,0,0,,,1,0,16,2,9,271,,,0,31:03,0,6,1,,25,0,132,,,,4-12,2,11-92,403,1,7.3,5.3
192,401767322,2230,Fordham,Patriot,away,18,16-33,,15,1-2,1,1,0,8,2,0,87,5,4,163,,1,1,32:52,0,2,1,,44,1,124,,,,8-21,3,3-11,287,3,4.9,2.8
193,401767322,2619,Stony Brook,CAA,home,41,21-28,,20,0-1,1,1,1,67,1,0,33,2,11,260,,2,3,27:08,0,18,3,,38,1,181,,,,3-12,1,8-70,441,2,9.3,4.8
194,401767341,2075,Bowie State,CIAA,away,14,28-46,,20,0-3,1,0,,,0,0,75,3,2,176,,,1,29:59,0,5,4,,28,1,206,,,,5-16,1,12-102,382,1,3.8,7.4
195,401767341,2169,Delaware State,MEAC,home,36,18-35,,21,2-3,0,1,,,0,0,41,3,4,194,,,2,30:01,0,48,4,,41,2,278,,,,3-16,1,16-153,472,0,5.5,6.8
196,401767351,47,Howard,MEAC,home,38,20-33,,23,2-3,0,1,0,6,0,0,29,2,8,269,,1,2,31:55,0,25,5,,39,3,156,,,,3-12,0,9-92,425,0,8.2,4.0
197,401767351,60,Morehouse College,SIAC,away,10,10-30,,11,1-2,1,0,,,1,0,32,2,4,128,,,1,28:05,0,15,3,,31,0,54,,,,3-15,3,5-32,182,2,4.3,1.7
198,401767360,2011,Alabama State,SWAC,home,37,16-20,,17,0-1,0,0,,,0,0,39,3,13,277,,,4,23:04,0,1,1,,27,0,130,,,,3-9,1,8-57,407,0,13.9,4.8
199,401767360,2396,Miles College,SIAC,away,9,19-30,,19,0-1,0,,,,0,0,25,3,3,165,,,0,36:56,,,,,42,1,73,,,,7-16,,8-57,238,0,5.5,1.7
200,401767380,2029,Arkansas-Pine Bluff,SWAC,home,34,16-27,,33,3-3,0,,0,29,3,0,10,2,4,201,,1,1,32:59,0,42,5,,51,4,324,,,,6-12,,12-100,525,3,7.4,6.4
201,401767380,124179,Lincoln (CA),Independent DII,away,8,13-25,,12,1-3,0,0,0,39,1,0,84,5,,145,,3,0,27:01,1,42,2,,23,0,36,,,,1-10,2,13-69,181,1,5.8,1.6
202,401767388,2065,Bethune-Cookman,SWAC,away,41,23-38,,29,2-3,2,0,,,1,0,146,7,5,325,,,4,31:26,0,9,2,,34,2,182,,,,3-10,2,7-69,507,3,8.6,5.4
203,401767388,2569,South Carolina State,MEAC,home,55,22-37,,28,0-0,0,1,0,0,0,0,76,4,13,335,,1,1,28:34,0,15,2,,37,5,226,,,,9-13,0,5-50,561,0,9.1,6.1
204,401767395,2310,Kentucky State,SIAC,away,31,20-30,,18,1-1,1,1,,,0,0,12,1,7,221,,,2,32:55,0,0,1,,34,2,136,,,,7-15,1,9-50,357,1,7.4,4.0
205,401767395,2755,Grambling,SWAC,home,37,13-27,,23,1-1,1,1,,,0,0,71,3,7,228,,,2,27:05,0,46,4,,36,2,230,,,,7-13,1,8-76,458,1,8.4,6.4
206,401767411,2220,Fayetteville State,CIAA,away,19,10-17,,10,0-0,1,1,0,0,1,0,53,5,7,84,,1,1,29:07,0,24,1,,36,1,150,,,,6-14,1,11-86,234,2,4.9,4.2
