,player_name,player_id,comp,att,yds,avg,td,int,qbr,week,completion_pct,yards_per_attempt,td_rate,int_rate,id
61,Darius Taylor,4920901,1,1,10,10.0,1,0,100.0,1,1.0,10.0,1.0,0.0,135
62,David Lynch,15462906,16,27,111,11.2,0,3,32.2,28,1.7698412698412698,11.253968253968253,0.0,0.2539682539682539,663
63,Davis Beville,8857774,5,7,46,18.5,1,0,157.3,17,1.6666666666666665,18.5,0.1666666666666666,0.0,5158
64,Davis Warren,9757362,31,45,277,12.3,2,2,136.4,3,1.4166666666666665,12.265151515151516,0.1136363636363636,0.0606060606060606,260
65,Demond Williams Jr.,5079653,26,32,374,11.7,4,1,85.2,1,0.8125,11.6875,0.125,0.03125,264
66,Deshawn Purdie,5138131,9,19,134,7.1,2,0,38.0,2,0.4736842105263157,7.052631578947368,0.1052631578947368,0.0,2429
67,Devin Brown,4695709,1,1,6,6.0,0,0,90.4,1,1.0,6.0,0.0,0.0,194
68,Devin Kargman,9371386,23,43,239,10.4,2,1,104.9,4,1.1,10.33095238095238,0.0714285714285714,0.0357142857142857,4618
69,Dexter Williams II,4565355,2,4,36,9.0,0,0,89.7,4,0.5,9.0,0.0,0.0,290
70,Diego Pavia,76262700,202,335,2643,121.4,25,4,1073.9,91,9.332395616302785,121.36259167695091,1.1870108479156183,0.1833446022086995,3570
71,Donovan Smith,4690977,24,28,260,9.3,1,1,83.5,2,0.8571428571428571,9.285714285714286,0.0357142857142857,0.0357142857142857,248
72,Drake Lindsey,5144959,1,1,15,15.0,0,0,99.8,1,1.0,15.0,0.0,0.0,135
73,Drew Allar,4714771,13,22,127,5.8,0,0,56.3,1,0.5909090909090909,5.7727272727272725,0.0,0.0,213
74,Drew Pyne,26574528,49,82,391,28.0,3,3,187.5,38,4.003799903799904,27.998460798460798,0.1111111111111111,0.25,852
75,Dylan Lonergan,4870900,5,6,23,3.8,0,0,65.2,12,0.8333333333333334,3.8333333333333335,0.0,0.0,333
76,Dylan Raiola,5079572,22,30,224,7.5,1,1,75.0,1,0.7333333333333333,7.466666666666667,0.0333333333333333,0.0333333333333333,158
77,EJ Caminong,5110101,6,19,57,3.0,0,0,16.3,1,0.3157894736842105,3.0,0.0,0.0,25
